country,region,population,female,male
Trinidad and Tobago,Americas,1360088,74.8,67.9
Tunisia,Africa,11253554,77.8,73
Turkey,Asia,78665830,78.9,72.6
Turkmenistan,Asia,5373502,70.5,62.2
Uganda,Africa,39032383,64.3,60.3
Ukraine,Europe,44823765,76.1,66.3
United Arab Emirates,Asia,9156963,78.6,76.4
United Kingdom,Europe,64715810,83,79.4
Uruguay,Americas,3431555,80.4,73.3
Uzbekistan,Asia,29893488,72.7,66.1
Vanuatu,Oceania,264652,74,70.1
Venezuela,Americas,31108083,78.5,70
Yemen,Asia,26832215,67.2,64.3
Zambia,Africa,16211767,64.7,59
Zimbabwe,Africa,15602751,62.3,59
